Id,Predicted
0,139918.98791997167
1,64045.47485223929
2,53685.266136851984
3,195491.9792616045
4,116517.16680020507
5,53738.57695371381
6,178359.27550008916
7,89562.31518676665
8,55435.91526359177
9,43695.72131843833
10,45794.277558844115
11,54105.935547470915
12,57633.691527004856
13,92859.46439323536
14,78299.72055594802
15,40673.595844943186
16,118632.23852844798
17,125528.37242050233
18,70656.66790251811
19,224316.70543308204
20,55246.9297358674
21,181512.4938506396
22,50916.68738674522
23,64239.91761620506
24,121975.99859653329
25,62358.603716303674
26,117006.10321855763
27,75335.29707759377
28,166235.22739081638
29,103768.83909623467
30,111319.88628253873
31,115505.50543423755
32,118275.72228777263
33,188431.8588038794
34,57706.895731412
35,71528.84956585936
36,79195.77602703767
37,43691.37186158988
38,125528.37242050233
39,83693.5763084406
40,52409.15935400486
41,91229.39460266895
42,88598.90537366545
43,87047.66912379318
44,114279.74280986136
45,84448.02194571137
46,68998.58496792607
47,85929.27523327622
48,249558.00680575092
49,71922.57034028899
50,82024.13147214934
51,510482.1008486618
52,101797.05643188604
53,56300.359458755716
54,51799.02543604251
55,58749.548401680244
56,68847.69383547021
57,141990.80708651262
58,58245.015755536406
59,43108.97019686112
60,149267.90526490187
61,91865.73307051984
62,130722.26968588655
63,55052.31241873332
64,67579.62597958068
65,66236.5204810359
66,56048.679698093925
67,86052.39238898305
68,97813.53229602336
69,61884.68358726316
70,115251.60785095104
71,219121.06627163888
72,55342.98843006179
73,58959.6385772513
74,47383.4634128075
75,139267.5551466847
76,121300.4356527644
77,132653.42063048086
78,92009.41150507607
79,86244.46107739132
80,105797.43638062775
81,118881.38512101668
82,49435.31798220112
83,93260.40780170022
84,56012.640424933394
85,100898.45062832764
86,61629.590093062194
87,72709.23282471168
88,88288.64270890929
89,100295.99217117626
90,102176.85762228235
91,126437.89241854099
92,549774.713350306
93,185467.91724585352
94,86228.44060592378
95,53216.88030981941
96,53035.39272065696
97,151509.30542062953
98,137239.77174122017
99,47474.32605346331
100,106908.25376107701
101,100931.85513273854
102,61567.56468086656
103,108460.98040971783
104,124618.15196480203
105,240879.83829833518
106,98324.0456526484
107,84655.2281785445
108,136759.5736734006
109,122432.82297603811
110,20982.908123653455
111,48183.25732841586
112,80459.92342094946
113,150627.3966379875
114,24180.404903216608
115,111326.44485714647
116,64687.462401461155
117,59957.4062010108
118,50866.301141481934
119,102151.99040004051
120,54920.09274886042
121,65812.43885563475
122,70614.37358693076
123,54743.635526277736
124,120828.21622505801
125,110866.64094388382
126,321451.5449149241
127,89300.9326628288
128,104384.74257674611
129,77059.67723249286
130,143218.5663371813
131,83146.82787462583
132,180022.39011886902
133,289562.8750008485
134,68714.33376183837
135,99082.51572507399
136,46601.30169619018
137,72474.53192865662
138,108135.36033356992
139,81293.60293581102
140,66623.85422212118
141,74553.25785318419
142,85690.62659993696
143,77729.14828359288
144,84392.80682333116
145,57319.54973430217
146,124076.37260661804
147,96907.64916584046
148,49726.68132553116
149,85165.81846182799
150,23592.995639248416
151,53345.555075598946
152,57059.49000593182
153,92800.99994409761
154,94833.34116259708
155,141193.13489645347
156,75055.3181853005
157,56137.35253666087
158,120119.61138595763
159,102874.11631348991
160,102155.63754154551
161,57530.44636666022
162,74973.67411851375
163,87006.61296401513
164,67399.55131714739
165,95328.26213094385
166,72509.20507257683
167,90128.30081044429
168,194090.14203216298
169,157195.03898238242
170,89332.53095971166
171,100941.35516804764
172,75647.06590439289
173,55625.754863041955
174,68771.79869994552
175,242923.0304839826
176,89276.2075910169
177,83260.62791078528
178,231937.46854821048
179,42235.67374426316
180,66735.8029320811
181,60816.725715818066
182,71207.59462266583
183,77798.06795671507
